id,daycare_centers,places,inhabitants,inhabitants_age_below_6
011001,10,768,16293,798
011002,7,865,13637,649
011003,26,3025,62233,3043
011004,18,1343,32384,1851
012005,39,1927,46905,2201
012006,37,2124,43624,2303
013007,39,2261,38744,2199
013008,34,2486,40026,2224
014009,50,2473,46542,2421
014010,62,3080,56616,2827
021001,27,2095,40981,2155
022002,79,3579,64657,3138
023003,31,1474,19454,764
023004,35,1695,26326,1138
024005,18,1499,26010,1452
024006,18,1320,27252,1389
025007,28,1547,31174,1694
025008,45,2725,56770,3188
031001,14,1344,17674,1149
032002,39,2212,30231,1537
032003,15,1111,18833,1025
033004,18,1424,20185,1219
033005,7,559,17566,963
034006,16,1180,18885,945
034007,47,2888,39348,2337
034008,22,1941,37120,1873
035009,42,2496,41559,2378
035010,6,816,15993,814
036011,34,1610,27973,1427
036012,17,1508,28115,1351
036013,26,1172,22853,1083
036014,21,2159,30041,1588
037015,20,1274,27309,1483
037016,38,1729,33591,1596
041001,8,792,19646,1065
042002,12,491,13147,506
042003,17,1157,27965,1215
043004,47,2033,42997,2106
043005,19,909,16150,793
043006,39,1906,50836,2450
044007,13,907,19829,983
044008,19,1358,34447,1512
045009,25,1184,28316,1249
045010,18,1090,40669,1801
045011,61,2254,49498,2241
051001,16,1336,29637,1911
051002,22,1900,43147,2536
051003,25,2093,41028,2557
052004,13,1053,23759,1237
052005,16,1926,30971,1943
052006,29,1592,37211,1939
053007,12,995,20008,1511
053008,10,753,13438,790
054009,15,1117,20078,930
061001,20,972,22146,1026
061002,30,1691,54101,2667
062003,30,1999,44698,2284
062004,19,1767,35974,1639
063005,22,1765,34282,1500
063006,36,2401,49471,2150
064007,18,1186,26664,1075
064008,28,2163,42708,1812
071001,17,1030,26387,1138
071002,18,1012,23957,1155
072003,12,674,21247,1038
072004,42,2137,31676,1742
073005,27,1303,25939,1363
073006,20,1236,21462,1153
074007,12,834,19307,880
074008,32,1605,32691,1810
074009,9,708,15380,961
075010,19,1594,32705,1854
075011,11,1113,21059,1107
076012,14,1169,17997,990
076013,10,687,14362,838
076014,15,1151,21257,1058
076015,22,1516,31533,1817
081001,38,1958,33049,1690
081002,43,2289,37581,1850
081003,34,1702,37805,1709
081004,36,1954,38919,2145
081005,6,702,15194,996
082006,13,1008,21540,1328
082007,21,1363,23196,1100
082008,14,1434,29646,1654
083009,10,751,20234,1288
083010,8,858,18497,1260
084011,3,274,9662,499
084012,22,1930,44165,2502
091001,11,825,13453,778
091002,5,375,11753,545
091003,13,662,19404,1049
091004,15,1232,21636,1257
092005,21,1412,25664,1446
092006,16,956,14508,908
092007,14,978,22417,1371
092008,9,803,12918,747
093009,20,1705,31244,2217
093010,9,669,15695,976
093011,7,537,8376,526
093012,4,134,4487,235
094013,7,675,12925,592
094014,5,477,12042,585
094015,8,505,7494,485
094016,3,235,7059,311
095017,15,1153,19036,890
095018,9,549,11138,631
095019,11,697,12525,791
095020,5,489,13462,595
101001,14,1444,25148,1538
101002,23,2698,52190,3063
101003,19,2224,42246,2347
102004,25,2580,44060,3313
102005,12,1231,23435,1774
102006,13,1584,26017,1503
103007,21,1653,30959,1663
104008,12,924,19683,877
104009,20,1439,30353,1409
111001,5,400,6451,471
111002,16,2020,30968,2061
111003,11,1460,28157,1660
112004,9,941,17330,1117
112005,15,2055,35756,2245
113006,17,2132,34484,1739
113007,18,1771,34329,2143
113008,5,786,10508,568
114009,26,1911,35831,2069
114010,6,832,16561,949
114011,10,1339,28351,1655
115012,4,360,4899,386
115013,29,2026,31923,2133
121001,13,1313,28760,1673
121002,21,1256,28322,1620
122003,19,1325,28242,1622
122004,7,572,20355,1087
122005,9,656,11322,567
124006,14,904,24332,1120
124007,26,1424,32978,1390
125008,11,664,16760,775
125009,25,1761,32190,1553
126010,7,706,9583,619
126011,10,1132,27454,1901
126012,8,707,13800,838
